Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
World,Mobile Phones,bq (Mundo Reader SL),Mundo Reader SL,Retail Volume,000 units,"1,219.8",734.8,389.2,267.2,459.3
World,Mobile Phones,Fly (Meridian Telecom Plc),Meridian Telecom Plc,Retail Volume,000 units,"1,319.7",900.1,739.0,407.6,431.6
World,Mobile Phones,myPhone (Solid Group Inc),Solid Group Inc,Retail Volume,000 units,"1,751.3","1,253.9",503.0,434.4,396.3
World,Mobile Phones,Nexian (Metrotech Jaya Komunika Indonesia PT),Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,"1,125.0",952.9,686.1,505.5,366.5
World,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,180.0,117.0,104.2,307.3,224.6
World,Mobile Phones,Maxx (Maxx Moblink Pvt Ltd),Maxx Moblink Pvt Ltd,Retail Volume,000 units,"2,118.0","1,179.3",458.6,205.1,179.9
World,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,772.8,256.5,201.0,102.2,61.6
World,Mobile Phones,Spice (Spice Group),Spice Group,Retail Volume,000 units,"1,512.8",842.3,285.5,87.9,60.0
World,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,46.0,41.0,97.0,52.3,42.1
World,Mobile Phones,Evercoss (Aries Indo Global PT),Aries Indo Global PT,Retail Volume,000 units,346.5,175.1,91.1,40.4,33.5
World,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,716.7,435.8,58.8,55.5,29.8
World,Mobile Phones,Advan (Intech Surya Abadi PT),Intech Surya Abadi PT,Retail Volume,000 units,563.0,201.6,73.4,19.3,11.5
World,Mobile Phones,Fujitsu (FCNT Ltd),FCNT Ltd,Retail Volume,000 units,-,-,"1,392.4","2,005.1",-
World,Mobile Phones,Fujitsu (Fujitsu Connected Technologies Ltd),Fujitsu Connected Technologies Ltd,Retail Volume,000 units,"1,272.9","1,476.6",-,-,-
World,Mobile Phones,Fujitsu (Fujitsu Ltd),Fujitsu Ltd,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Honor (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"7,892.1",-,-,-,-
World,Mobile Phones,I-Mobile (Samart Corp Plc),Samart Corp Plc,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Lumia (Microsoft Corp),Microsoft Corp,Retail Volume,000 units,11.6,0.3,0.0,-,-
World,Mobile Phones,Positivo (Positivo Informática SA),Positivo Informática SA,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Sharp (Sharp Corp),Sharp Corp,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Videocon (Videocon Industries Ltd),Videocon Industries Ltd,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Vsmart (Masan Group Corp),Masan Group Corp,Retail Volume,000 units,683.2,"1,958.0",650.0,5.0,-
World,Mobile Phones,Others,Others,Retail Volume,000 units,"220,074.5","178,123.8","185,645.7","171,622.5","168,735.2"
World,Mobile Phones,Total,Total,Retail Volume,000 units,"1,580,861.5","1,455,213.6","1,460,452.0","1,320,572.0","1,262,528.3"
World,Retail,Others,Others,Retail Value RSP excl Sales Tax,USD million,"12,051,315.8","11,577,484.4","12,807,789.0","12,585,283.1","12,797,982.2"
World,Retail,Total,Total,Retail Value RSP excl Sales Tax,USD million,"15,676,081.9","15,699,563.2","17,498,702.1","17,681,257.5","18,153,822.4"
World,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,USD million,"11,083,528.5","10,392,808.8","11,405,584.1","11,180,953.9","11,318,193.7"
World,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,USD million,"13,493,625.7","12,860,109.9","14,076,131.9","13,910,543.3","14,167,932.1"
World,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,USD million,"5,101,769.0","4,446,729.8","5,025,188.8","4,895,665.7","4,966,041.6"
World,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,USD million,"6,156,083.0","5,431,670.0","6,138,341.7","6,017,323.1","6,111,536.8"
World,Appliances and Electronics Specialists,Vodafone (Vodafone Group Plc),Vodafone Group Plc,Retail Value RSP excl Sales Tax,USD million,"1,464.0","1,087.7","1,324.7","1,280.5","1,197.6"
World,Appliances and Electronics Specialists,D Phone (Beijing Digital Telecom Co Ltd),Beijing Digital Telecom Co Ltd,Retail Value RSP excl Sales Tax,USD million,"1,228.2",999.6,744.8,908.0,"1,134.6"
World,Appliances and Electronics Specialists,The Phone House (Dixons Carphone Plc),Dixons Carphone Plc,Retail Value RSP excl Sales Tax,USD million,-,-,-,-,-
World,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,USD million,"432,356.2","379,526.1","410,963.1","407,137.3","405,314.9"
World,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,USD million,"693,617.7","613,440.4","667,962.9","643,003.8","635,269.2"
World,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,USD million,"666,712.6","814,043.2","962,462.3","973,929.4","1,014,411.8"
World,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,USD million,"2,182,456.2","2,839,453.2","3,422,570.1","3,770,714.1","3,985,890.3"
Asia Pacific,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"68,645.4","69,250.3","87,448.1","87,594.6","86,663.6"
Asia Pacific,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"98,028.6","96,802.2","112,583.2","91,466.6","81,124.6"
Asia Pacific,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"99,838.2","93,399.0","94,187.4","87,210.1","79,023.1"
Asia Pacific,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,"97,364.5","99,500.5","109,730.2","84,123.5","74,311.8"
