Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
"Hong Kong, China",Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,75.1,53.3,57.6,59.4,58
"Hong Kong, China",Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,58.2,57,64.5,66.5,53.3
"Hong Kong, China",Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,89.6,80.4,69.2,57.7,49.7
"Hong Kong, China",Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,43.7,41.4,44.7,43.8,39.5
"Hong Kong, China",Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,4.2,2.8,1.6,1,0.6
"Hong Kong, China",Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,168,144.3,103.3,77,0
"Hong Kong, China",Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,-,-,-,-,-
"Hong Kong, China",Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,89.2,-,-,-,-
"Hong Kong, China",Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,-,-,-,-,-
"Hong Kong, China",Mobile Phones,Lumia (Microsoft Corp),Microsoft Corp,Retail Volume,000 units,-,-,-,-,-
"Hong Kong, China",Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,-,-,-,-,-
"Hong Kong, China",Mobile Phones,Others,Others,Retail Volume,000 units,66.6,181.7,25.9,22.3,233.3
"Hong Kong, China",Mobile Phones,Total,Total,Retail Volume,000 units,4559.5,4239.6,4120.8,4017.6,3940.7
"Hong Kong, China",Retail,Others,Others,Retail Value RSP excl Sales Tax,HKD million,258178.2,198238.7,229697.9,256053.2,283891.1
"Hong Kong, China",Retail,Total,Total,Retail Value RSP excl Sales Tax,HKD million,478342.2,386011.3,421175.2,464520.7,512309.6
"Hong Kong, China",Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,HKD million,224244.5,150972.4,173554.7,188521.3,218765.6
"Hong Kong, China",Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,HKD million,432572,322300.3,347494.5,376840.8,427347.7
"Hong Kong, China",Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,HKD million,179561.4,110784.8,133491.4,146770,175490.2
